"編號","單字","詞性","中文意思","英文例句","例句翻譯"
"1489","rent","v./n.","租金/租用","How much is the rent for this apartment?","這間公寓的租金是多少？"
"1490","repair","v./n.","修理","He can repair your broken computer.","他可以修理你壞掉的電腦。"
"1491","repeat","v.","重複","Could you please repeat what you just said?","可以請你重複你剛剛說的話嗎？"
"1492","reply","v./n.","回覆","She didn't reply to my email.","她沒有回覆我的電子郵件。"
"1493","report","n./v.","報告","He submitted his report to the manager.","他把報告交給了經理。"
"1494","reporter","n.","記者","The reporter asked the president some questions.","那位記者問了總統一些問題。"
"1495","require","v.","要求/需要","The job requires a lot of experience.","這份工作需要豐富的經驗。"
"1496","respect","v./n.","尊重","We should respect other people's opinions.","我們應該尊重他人的意見。"
"1497","rest","n./v.","休息","You need a good rest after work.","工作後你需要好好休息。"
"1498","restaurant","n.","餐廳","We had a great meal at this restaurant.","我們在這間餐廳吃了很棒的一餐。"
"1499","restroom","n.","洗手間","Excuse me, where is the restroom?","不好意思，請問洗手間在哪裡？"
"1500","result","n.","結果","The final result of the game was a tie.","比賽的最終結果是平手。"
"1501","return","v./n.","歸還/返回","I returned the book to the library yesterday.","我昨天把書還給圖書館了。"
"1502","review","v./n.","複習/評論","We should review our notes before the exam.","考試前我們應該複習我們的筆記。"
"1503","revise","v.","修訂/溫習","He is revising his report based on the teacher's feedback.","他正根據老師的回饋修訂他的報告。"
"1504","rice","n.","米飯","Rice is the main food for many people in Asia.","米飯是許多亞洲人的主食。"
"1505","rich","adj.","富有的","He is one of the richest men in the world.","他是世界上最富有的人之一。"
"1506","ride","v./n.","騎/搭乘","She likes to ride her bike to school.","她喜歡騎腳踏車上學。"
"1507","right","adj./adv./n.","正確的/右邊/權利","You made the right decision.","你做了正確的決定。"
"1508","ring","n./v.","戒指/打電話/鈴聲","He gave her a beautiful diamond ring.","他送了她一枚漂亮的鑽石戒指。"
"1509","rise","v.","上升","The sun rises in the east every morning.","太陽每天早上從東方升起。"
"1510","river","n.","河流","They went fishing in the river.","他們去河裡釣魚。"
"1511","road","n.","道路","This road is very busy during rush hour.","這條路在尖峰時刻非常繁忙。"
"1512","rob","v.","搶劫","The thief tried to rob the bank.","那個小偷試圖搶劫銀行。"
"1513","robot","n.","機器人","The robot can perform simple tasks automatically.","這個機器人能自動執行簡單的任務。"
"1514","rock","n.","岩石","The child threw a rock into the pond.","那個小孩把一塊石頭扔進池塘裡。"
"1515","role","n.","角色","She played an important role in the project.","她在這個專案中扮演了重要的角色。"
"1516","roll","v./n.","捲/滾動","Please roll up your sleeves before washing your hands.","洗手前請把袖子捲起來。"
"1517","roof","n.","屋頂","The cat is sitting on the roof.","貓正坐在屋頂上。"
"1518","room","n.","房間/空間","Is there enough room for everyone in the car?","車子裡有足夠的空間給每個人嗎？"
"1519","root","n.","根","The roots of this tree are very deep.","這棵樹的根很深。"
"1520","rope","n.","繩子","He used a rope to climb up the mountain.","他用繩子爬上山。"
"1521","rose","n.","玫瑰","He gave me a red rose on Valentine's Day.","他在情人節送了我一朵紅玫瑰。"
"1522","round","adj./prep.","圓的/圍繞","The earth is round.","地球是圓的。"
"1523","row","n./v.","列/划船","We sat in the front row of the theater.","我們坐在劇院的第一列（前排）。"
"1524","royal","adj.","皇家的","The royal family lives in the palace.","皇室家族住在宮殿裡。"
"1525","rub","v.","摩擦","She rubbed her eyes because she was tired.","因為累了，她搓了搓眼睛。"
"1526","rubber","n.","橡膠","The tires of the car are made of rubber.","汽車的輪胎是由橡膠製成的。"
"1527","rude","adj.","無禮的","It is rude to talk while others are speaking.","別人說話時插嘴是很無禮的。"
"1528","ruin","v./n.","毀壞/廢墟","The heavy rain ruined our picnic.","大雨毀了我們的野餐。"
"1529","rule","n./v.","規則/統治","We must follow the rules of the game.","我們必須遵守遊戲規則。"
"1530","ruler","n.","尺/統治者","Please use a ruler to draw a straight line.","請用尺畫一條直線。"
"1531","run","v.","跑步","He likes to run in the park every morning.","他喜歡每天早上在公園跑步。"
"1532","rush","v./n.","衝/急促","I have to rush to catch the bus.","我必須趕緊去搭公車。"
"1533","Russia","n.","俄羅斯","They traveled to Russia last winter.","他們去年冬天去俄羅斯旅遊。"
"1534","Russian","n./adj.","俄羅斯人/俄羅斯語的","She speaks fluent Russian.","她說著一口流利的俄語。"
"1535","sad","adj.","悲傷的","She felt sad after hearing the news.","聽到那個消息後，她感到很悲傷。"
"1536","safe","adj.","安全的","It is safe to drink this water.","喝這個水是安全的。"
"1537","safety","n.","安全","Safety first!","安全第一！"
"1538","sail","v./n.","航行/帆","They sailed across the ocean.","他們航行橫跨了海洋。"
"1539","sailor","n.","水手","The sailor has traveled to many countries.","那位水手去過許多國家。"
"1540","salad","n.","沙拉","I would like to have a vegetable salad for lunch.","我想午餐吃個蔬菜沙拉。"
"1541","sale","n.","特價/銷售","The clothes are on sale now.","那些衣服現在正在特價。"
"1542","salesman","n.","銷售員","The salesman is very good at convincing people.","那位銷售員非常擅長說服他人。"
"1543","salt","n.","鹽","Please pass me the salt.","請把鹽遞給我。"
"1544","same","adj./pron.","相同的","We have the same opinion on this matter.","我們對這件事有相同的看法。"
"1545","sample","n.","樣本/樣品","The store gave me a free sample of the new product.","這家店給了我新產品的免費樣品。"
"1546","sand","n.","沙子","We built a sandcastle on the beach.","我們在沙灘上蓋了一座沙堡。"
"1547","sandwich","n.","三明治","I packed a sandwich for my lunch.","我準備了一個三明治當午餐。"
"1548","satisfy","v.","使滿足","The results of the test satisfied everyone.","考試結果讓大家都感到滿意。"
"1549","Saturday","n.","週六","We always go shopping on Saturday.","我們總是週六去逛街。"
"1550","saucer","n.","茶碟/托盤","The cup is placed on a small saucer.","杯子放在一個小茶碟上。"
"1551","save","v.","拯救/節省","We need to save more energy.","我們需要節省更多能源。"
"1552","say","v.","說","What did you say?","你說了什麼？"
"1553","scale","n.","秤/刻度","She weighed herself on the scale.","她用秤量了體重。"
"1554","scared","adj.","感到害怕的","She was scared of the dog.","她很怕那隻狗。"
"1555","scarf","n.","圍巾","She wore a warm scarf in winter.","她冬天戴了一條溫暖的圍巾。"
"1556","scene","n.","場景","The scene in the movie was very beautiful.","電影裡的那個場景非常漂亮。"
"1557","school","n.","學校","I go to school by bus every day.","我每天搭公車上學。"
"1558","science","n.","科學","Science is an interesting subject.","科學是一門有趣的學科。"
"1559","scientist","n.","科學家","She wants to be a scientist in the future.","她未來想成為一名科學家。"
"1560","scooter","n.","速克達/摩托車","He drives his scooter to work.","他騎速克達去上班。"
"1561","score","n./v.","分數/得分","What is the score of the game?","這場比賽的比分是多少？"
"1562","screen","n.","螢幕","The screen of my computer is too small.","我電腦的螢幕太小了。"
"1563","sea","n.","海洋","We love to swim in the sea.","我們喜歡在海裡游泳。"
"1564","search","v./n.","搜尋","The police are searching for the missing child.","警察正在搜尋失蹤的孩子。"
"1565","season","n.","季節","Spring is my favorite season.","春天是我最喜歡的季節。"
"1566","seat","n.","座位","Please take your seat.","請就座。"
"1567","second","n./num.","秒/第二","He finished the race in ten seconds.","他以十秒的時間跑完了比賽。"
"1568","secret","n./adj.","秘密","I have a secret to tell you.","我有一個秘密要告訴你。"
"1569","secretary","n.","秘書","The secretary is typing a letter.","秘書正在打一封信。"
"1570","section","n.","部分/區域","Please read the first section of the book.","請閱讀這本書的第一部分。"
"1571","see","v.","看見","I can see a bird in the tree.","我可以看到樹上有一隻鳥。"
"1572","seed","n.","種子","He planted a seed in the garden.","他在花園裡種了一顆種子。"
"1573","seek","v.","尋求","They are seeking help from the government.","他們正在向政府尋求幫助。"
"1574","seem","v.","似乎","It seems that it will rain soon.","看起來好像快要下雨了。"
"1575","seesaw","n.","翹翹板","The children are playing on the seesaw.","孩子們正在玩翹翹板。"
"1576","seldom","adv.","很少","He seldom goes to the movies.","他很少去看電影。"
"1577","select","v.","選擇","Please select the best answer.","請選擇最佳答案。"
"1578","selfish","adj.","自私的","It is selfish to take everything for yourself.","把所有東西都佔為己有是很自私的。"
"1579","sell","v.","販售","The store sells fresh fruit.","這家店賣新鮮水果。"
"1580","semester","n.","學期","The final exam is at the end of the semester.","期末考在學期末。"
"1581","send","v.","寄送","I will send you an email later.","我稍後會寄給你一封電子郵件。"
"1582","sense","n.","感覺/意識","She has a good sense of humor.","她很有幽默感。"
"1583","separate","v./adj.","分開","The two friends had to separate at the train station.","這兩個朋友必須在火車站分開。"
"1584","September","n.","九月","School starts in September.","學校在九月開學。"
"1585","serious","adj.","嚴肅的/嚴重的","He is a serious student.","他是一個認真的學生。"
"1586","servant","n.","僕人","The servant cleaned the room.","僕人清理了房間。"
"1587","serve","v.","服務/供應","They serve good food in this restaurant.","這家餐廳供應美味的食物。"
"1588","service","n.","服務","The service in this hotel is excellent.","這間飯店的服務非常好。"
"1589","set","v./n.","設定/一套","Please set the alarm for 7:00.","請把鬧鐘設定在七點。"
"1590","seven","num.","七","There are seven days in a week.","一週有七天。"
"1591","seventeen","num.","十七","She is seventeen years old.","她十七歲。"
"1592","seventy","num.","七十","He is seventy years old.","他七十歲。"
"1593","several","adj.","幾個","I have seen this movie several times.","這部電影我看過好幾次了。"
"1594","shake","v.","搖晃/握手","He shook my hand when we met.","我們見面時他跟我握了手。"
"1595","shall","aux.","將要/應該","Shall we go for a walk?","我們要去散步嗎？"
"1596","shape","n.","形狀","The table is round in shape.","這張桌子的形狀是圓的。"
"1597","share","v./n.","分享","Please share your toys with your friends.","請跟你的朋友們分享你的玩具。"
"1598","shark","n.","鯊魚","The shark is a large fish in the ocean.","鯊魚是海洋裡的大魚。"
"1599","sharp","adj.","尖銳的","Be careful, the knife is very sharp.","小心，那把刀很鋒利。"
"1600","she","pron.","她","She is my best friend.","她是我的好朋友。"
"1601","sheep","n.","綿羊","The sheep are eating grass in the field.","綿羊正在田裡吃草。"
"1602","sheet","n.","床單/一張紙","Please put a clean sheet on the bed.","請在床上鋪上一張乾淨的床單。"
"1603","shelf","n.","架子","The book is on the top shelf.","那本書在最高的那層架子上。"
"1604","shine","v.","照耀","The sun shines brightly today.","今天太陽照得很亮。"
"1605","ship","n.","船","The ship is sailing across the sea.","那艘船正在海上航行。"
"1606","shirt","n.","襯衫","He is wearing a white shirt.","他穿著一件白襯衫。"
"1607","shock","n./v.","震驚/休克","The news of the accident was a big shock.","事故的消息令人震驚。"
"1608","shoe","n.","鞋子","I bought a new pair of shoes yesterday.","我昨天買了一雙新鞋。"
"1609","shoot","v.","射擊","The photographer is shooting a movie.","那位攝影師正在拍攝電影。"
"1610","shop","n./v.","商店/購物","I like to shop for clothes online.","我喜歡上網買衣服。"
"1611","shore","n.","岸邊","The ship is near the shore.","那艘船在岸邊附近。"
"1612","short","adj.","短的/矮的","She has short hair.","她留短髮。"
"1613","shot","n./v.","射擊/擊球/注射","He took a shot at the target.","他對目標射擊了一次。"
"1614","should","aux.","應該","You should study hard.","你應該用功讀書。"
"1615","shoulder","n.","肩膀","He put his bag on his shoulder.","他把包包背在肩上。"
"1616","shout","v.","大叫","Don't shout at me.","不要對我大叫。"
"1617","show","v./n.","展示/秀","He showed me his new car.","他向我展示了他的新車。"
"1618","shower","n.","淋浴/陣雨","I took a shower this morning.","我今天早上淋浴了。"
"1619","shrimp","n.","蝦子","I like to eat shrimp for dinner.","我晚餐喜歡吃蝦子。"
"1620","shut","v.","關閉","Please shut the window.","請關上窗戶。"
"1621","shy","adj.","害羞的","She is very shy and doesn't like to speak in public.","她非常害羞，不喜歡在公眾場合發言。"
"1622","sick","adj.","生病的","He stayed home because he was sick.","因為生病，他留在家裡。"
"1623","side","n.","邊/側面","Which side of the road should we walk on?","我們應該走在路的那一邊？"
"1624","sidewalk","n.","人行道","Please walk on the sidewalk, not in the street.","請走在人行道上，不要走在馬路上。"
"1625","sight","n.","視力/景觀","The Statue of Liberty is a famous sight in New York.","自由女神像是紐約著名的景點。"
"1626","sign","n./v.","標誌/簽名","Please follow the traffic sign.","請遵守交通標誌。"
"1627","silence","n.","沈默","There was silence in the room after she finished speaking.","在她說完話後，房間裡一片寂靜。"
"1628","silent","adj.","沈默的","Please be silent in the library.","請在圖書館保持安靜。"
"1629","silly","adj.","愚蠢的","It was a silly mistake to make.","那是一個很愚蠢的錯誤。"
"1630","silver","n./adj.","銀/銀色的","She wears a silver necklace.","她戴著一條銀色的項鍊。"
"1631","similar","adj.","相似的","My brother and I have similar interests.","我哥哥和我興趣相似。"
"1632","simple","adj.","簡單的","The instructions are very simple to follow.","這些指示非常簡單，容易遵循。"
"1633","simply","adv.","簡單地","It is simply the best way to do it.","這簡直是做這件事最好的方法。"
"1634","since","prep./conj.","自從/因為","I have lived here since I was a child.","我從小孩時就住在這了。"
"1635","sincere","adj.","真誠的","He gave a sincere apology for his mistake.","他為自己的錯誤作了真誠的道歉。"
"1636","sing","v.","唱歌","She likes to sing songs in her free time.","她空閒時喜歡唱歌。"
"1637","Singapore","n.","新加坡","They went to Singapore for their vacation.","他們去新加坡度假。"
"1638","singer","n.","歌手","She is a very popular singer.","她是一位很受歡迎的歌手。"
"1639","single","adj.","單身的/單一的","Is she single or married?","她是單身還是已婚？"
"1640","sink","v./n.","下沉/洗手槽","The boat began to sink after it hit a rock.","船撞到岩石後開始下沉。"
"1641","sir","n.","先生","May I help you, sir?","先生，有什麼我可以幫您的嗎？"
"1642","sister","n.","姊妹","I have two older sisters and one younger brother.","我有兩個姊姊和一個弟弟。"
"1643","sit","v.","坐","Please sit down and make yourself comfortable.","請坐，讓自己舒服一點。"
"1644","six","num.","六","There are six people in my family.","我家有六個人。"
"1645","sixteen","num.","十六","She will be sixteen next year.","她明年就十六歲了。"
"1646","sixty","num.","六十","He is sixty years old.","他六十歲。"
"1647","size","n.","大小/尺寸","What size of shoes do you wear?","你穿什麼尺寸的鞋子？"
"1648","skate","v./n.","滑冰","They went to skate on the ice rink.","他們去溜冰場滑冰。"
"1649","ski","v./n.","滑雪","He loves to ski in the winter.","他冬天喜歡滑雪。"
"1650","skill","n.","技能","Learning a new language is a useful skill.","學習一門新語言是一項有用的技能。"
"1651","skillful","adj.","熟練的","He is a skillful driver.","他是一位技術熟練的駕駛。"
"1652","skin","n.","皮膚","She has soft and smooth skin.","她有柔軟光滑的皮膚。"
"1653","skinny","adj.","很瘦的","He is too skinny; he should eat more.","他太瘦了，應該多吃點。"
"1654","skirt","n.","裙子","She is wearing a blue skirt today.","她今天穿著一件藍色裙子。"
"1655","sky","n.","天空","The sky is clear and blue.","天空晴朗且湛藍。"
"1656","sleep","v./n.","睡覺","I didn't get enough sleep last night.","我昨晚沒有睡飽。"
"1657","sleepy","adj.","想睡的","I feel very sleepy after lunch.","午餐後我感到非常想睡。"
"1658","slender","adj.","苗條的","She has a slender figure.","她有一副苗條的身材。"
"1659","slide","v./n.","滑動/滑梯","The children are playing on the slide.","孩子們正在玩滑梯。"
"1660","slim","adj.","苗條的","She works out every day to stay slim.","她每天運動以保持苗條。"
"1661","slip","v.","滑倒","He slipped on the wet floor.","他在潮濕的地板上滑倒了。"
"1662","slippers","n.","拖鞋","Please put on your slippers when you enter the house.","進入屋內時請穿上你的拖鞋。"
"1663","slow","adj.","慢的","The bus was very slow during the traffic jam.","塞車時公車開得很慢。"
"1664","small","adj.","小的","They live in a small apartment.","他們住在一間小公寓裡。"
"1665","smart","adj.","聰明的","He is a very smart boy.","他是一個非常聰明的男孩。"
"1666","smell","v./n.","聞/氣味","I can smell something burning in the kitchen.","我聞到廚房裡有燒焦的味道。"
"1667","smile","v./n.","微笑","She gave me a warm smile.","她給了我一個溫暖的微笑。"
"1668","smoke","v./n.","抽菸/煙","It is bad for your health to smoke.","抽菸對你的健康有害。"
"1669","snack","n.","點心","I like to have a healthy snack in the afternoon.","我下午喜歡吃健康的點心。"
"1670","snail","n.","蝸牛","The snail moves very slowly.","蝸牛移動得非常慢。"
"1671","snake","n.","蛇","Some snakes are poisonous.","有些蛇是有毒的。"
"1672","sneakers","n.","運動鞋","I need to buy a new pair of sneakers.","我需要買一雙新運動鞋。"
"1673","sneaky","adj.","鬼鬼祟祟的","The sneaky cat stole some fish from the kitchen.","那隻鬼鬼祟祟的貓從廚房偷了一些魚。"
"1674","snow","n./v.","雪/下雪","It started to snow in the evening.","晚上開始下雪了。"
"1675","snowy","adj.","多雪的","We love playing in the snowy mountains.","我們喜歡在多雪的山上玩耍。"
"1676","so","adv./conj.","所以/如此","It was raining, so we stayed home.","因為在下雨，所以我們待在家裡。"
"1677","soap","n.","肥皂","Please use soap to wash your hands.","請用肥皂洗手。"
"1678","soccer","n.","足球","He is a talented soccer player.","他是一位有天賦的足球員。"
"1679","social","adj.","社會的/社交的","She has a very active social life.","她的社交生活非常豐富。"
"1680","society","n.","社會","We should work together to improve our society.","我們應該共同努力改善我們的社會。"
"1681","socks","n.","襪子","I need to buy a new pair of socks.","我需要買一雙新襪子。"
"1682","soda","n.","汽水","He likes to drink soda with his pizza.","他喜歡配披薩喝汽水。"
"1683","soft","adj.","柔軟的","The bed is very soft and comfortable.","這張床非常柔軟舒適。"
"1684","soldier","n.","軍人","The soldier fought bravely for his country.","那位軍人為他的國家英勇作戰。"
"1685","solution","n.","解決方法","Do you have any solution to this problem?","你對這個問題有什麼解決方法嗎？"
"1686","solve","v.","解決","We can solve this problem together.","我們可以一起解決這個問題。"
"1687","some","adj./pron.","一些","I have some questions for you.","我有幾個問題要問你。"
"1688","somebody","pron.","有人","Somebody is knocking at the door.","有人在敲門。"
"1689","someone","pron.","有人","Does someone know the answer?","有人知道答案嗎？"
"1690","something","pron.","某事/某物","I have something to tell you.","我有事情要告訴你。"
"1691","sometimes","adv.","有時","Sometimes I go to the park on weekends.","我週末有時會去公園。"
"1692","son","n.","兒子","He has two sons and one daughter.","他有兩個兒子和一個女兒。"
"1693","song","n.","歌曲","This is my favorite song.","這是我們最喜歡的歌。"
"1694","soon","adv.","很快地","I hope to see you again soon.","希望很快能再見到你。"
"1695","sore","adj.","痠痛的","My legs are sore after the long walk.","長途行走後我的腿很痠痛。"
"1696","sorry","adj.","抱歉的","I am sorry for being late.","對不起，我遲到了。"
"1697","sort","n./v.","種類/分類","What sort of music do you like?","你喜歡哪種類型的音樂？"
"1698","soul","n.","靈魂","He is a kind soul.","他是一個心地善良的人。"
"1699","sound","n./v.","聲音/聽起來","The music sounds beautiful.","這音樂聽起來很美。"
"1700","soup","n.","湯","Would you like some hot soup?","你想要喝些熱湯嗎？"
"1701","sour","adj.","酸的","These lemons are very sour.","這些檸檬非常酸。"
"1702","source","n.","來源","What is the source of this information?","這個資訊的來源是什麼？"
"1703","south","n./adj.","南方","The sun rises in the east and sets in the west, but it is always in the south at noon.","太陽東升西落，但在中午時總是在南方。"
"1704","southern","adj.","南方的","We visited a small town in southern Taiwan.","我們造訪了台灣南部的一個小鎮。"
"1705","soy sauce","n.","醬油","Please add a little soy sauce to the dish.","請在菜裡加一點醬油。"
"1706","space","n.","空間/太空","There is no more space in the box.","盒子裡沒有更多空間了。"
"1707","spaghetti","n.","義大利麵","We are having spaghetti for dinner.","我們晚餐吃義大利麵。"
"1708","speak","v.","說","She speaks three languages.","她會說三種語言。"
"1709","speaker","n.","說話者/揚聲器","Who is the speaker at the meeting?","會議上的發言人是誰？"
"1710","special","adj.","特別的","Today is a special day for me.","今天對我來說是很特別的一天。"
"1711","speech","n.","演講","The president gave a short speech at the meeting.","總統在會議上發表了一場簡短的演講。"
"1712","speed","n.","速度","The car was driving at a high speed.","那輛車正以高速行駛。"
"1713","spell","v.","拼字","How do you spell your name?","你的名字怎麼拼？"
"1714","spelling","n.","拼字/拼寫","Her spelling of this word is wrong.","她這個字的拼寫錯誤。"
"1715","spend","v.","花費","He spends a lot of money on clothes.","他花很多錢買衣服。"
"1716","spider","n.","蜘蛛","There is a small spider in the corner.","角落裡有一隻小蜘蛛。"
"1717","spirit","n.","精神/靈魂","He has a strong fighting spirit.","他有堅強的戰鬥精神。"
"1718","spoon","n.","湯匙","I need a spoon to eat my soup.","我需要一根湯匙來喝湯。"
"1719","sport","n.","運動","What is your favorite sport?","你最喜歡的運動是什麼？"
"1720","spot","n.","點/地點","This is a beautiful spot to watch the sunset.","這是看日落的好地點。"
"1721","spread","v.","散佈/傳播","The news spread quickly.","消息傳播得很快。"
"1722","spring","n.","春天/彈簧","Spring is the time when flowers bloom.","春天是花朵綻放的季節。"
"1723","square","n./adj.","廣場/正方形","There is a large square in front of the station.","車站前有一個大廣場。"
"1724","stage","n.","舞台","The actors are on the stage now.","演員們現在在舞台上。"
"1725","stairs","n.","樓梯","Please be careful when you walk down the stairs.","下樓梯時請小心。"
"1726","stamp","n.","郵票","I need to buy a stamp for this letter.","我需要買張郵票寄這封信。"
"1727","stand","v.","站立","Please stand up when the teacher enters the room.","老師進教室時請起立。"
"1728","standard","n./adj.","標準","This is the standard procedure for this test.","這是這項測試的標準流程。"
"1729","star","n.","星星/明星","Look at the stars in the sky.","看天空中的星星。"
"1730","start","v.","開始","The movie will start in five minutes.","電影五分鐘後開始。"
"1731","state","n./v.","州/狀態/陳述","He lives in the state of California.","他住在加州。"
"1732","station","n.","車站","The train is arriving at the station.","火車即將抵達車站。"
"1733","stationery","n.","文具","She went to the store to buy some stationery.","她去店裡買了一些文具。"
"1734","stay","v.","停留/保持","We will stay at a hotel for the weekend.","週末我們將住在飯店。"
"1735","steak","n.","牛排","He ordered a medium-rare steak.","他點了一份三分熟的牛排。"
"1736","steal","v.","偷竊","Someone stole my bicycle yesterday.","昨天有人偷了我的腳踏車。"
"1737","steam","n.","蒸氣","Hot steam was rising from the cup.","熱蒸氣正從杯中升起。"
"1738","step","n./v.","腳步/台階","Watch your step on the stairs.","走樓梯時注意腳步。"
"1739","stick","n./v.","棍子/黏貼","The dog is carrying a stick in its mouth.","那隻狗嘴裡叼著一根棍子。"
"1740","still","adv./adj.","仍然/安靜的","He is still sleeping in his room.","他仍然在他的房間裡睡覺。"
"1741","stingy","adj.","小氣的","He is too stingy to buy a gift for his friend.","他太小氣了，連給朋友買個禮物都不肯。"
"1742","stomach","n.","胃","I have a stomach ache after eating too much.","吃太多之後我胃痛。"
"1743","stone","n.","石頭","The path is covered with stones.","那條小徑鋪滿了石頭。"
"1744","stop","v./n.","停止","Please stop talking and listen to me.","請停止說話，聽我說。"
"1745","store","n./v.","商店/儲存","I need to go to the store to buy some food.","我需要去商店買些食物。"
"1746","storm","n.","暴風雨","The storm caused a lot of damage.","那場暴風雨造成了許多破壞。"
"1747","stormy","adj.","暴風雨的","It was a dark and stormy night.","那是一個黑暗且暴風雨的夜晚。"
"1748","story","n.","故事","She told a very interesting story to the children.","她給孩子們講了一個非常有趣的故事。"
"1749","stove","n.","火爐","She is cooking dinner on the stove.","她正在爐子上煮晚餐。"
"1750","straight","adj./adv.","直的/直接地","Draw a straight line on the paper.","在紙上畫一條直線。"
"1751","strange","adj.","奇怪的","That is a very strange sound.","那是一個非常奇怪的聲音。"
"1752","stranger","n.","陌生人","Don't talk to strangers.","不要跟陌生人說話。"
"1753","straw","n.","吸管/稻草","I need a straw for my drink.","我喝飲料需要一根吸管。"
"1754","strawberry","n.","草莓","I like to eat fresh strawberries.","我喜歡吃新鮮的草莓。"
"1755","stream","n.","溪流","The stream flows through the forest.","那條小溪流經森林。"
"1756","street","n.","街道","There are many shops on this street.","這條街上有很多商店。"
"1757","stress","n.","壓力","He is under a lot of stress at work.","他在工作上承受著很大的壓力。"
"1758","strike","v.","打擊/罷工","The workers went on strike for better pay.","工人們為了更好的薪資進行罷工。"
"1759","strong","adj.","強壯的","He is very strong and can lift heavy boxes.","他非常強壯，可以搬動重箱子。"
"1760","struggle","v./n.","掙扎/奮鬥","She struggled to learn how to swim.","她努力掙扎才學會游泳。"
"1761","student","n.","學生","He is a hardworking student.","他是一位勤奮的學生。"
"1762","study","v./n.","學習","She studies hard for the exam.","她為了考試努力學習。"
"1763","stupid","adj.","愚蠢的","It was a stupid thing to say.","那是一句愚蠢的話。"
"1764","style","n.","風格","She has her own unique style.","她有她自己獨特的風格。"
"1765","subject","n.","學科/主題","Math is my favorite subject.","數學是我最喜歡的學科。"
"1766","subway","n.","地鐵","I take the subway to work every day.","我每天搭地鐵上班。"
"1767","succeed","v.","成功","If you work hard, you will succeed.","如果你努力，你就會成功。"
"1768","success","n.","成功","Hard work is the key to success.","努力是成功的關鍵。"
"1769","successful","adj.","成功的","He is a successful businessman.","他是一位成功的商人。"
"1770","such","adj./det.","如此的","She is such a kind person.","她是一個如此善良的人。"
"1771","sudden","adj.","突然的","The sudden change in weather surprised us.","天氣的突然變化讓我們感到驚訝。"
"1772","suddenly","adv.","突然地","It started to rain suddenly.","突然開始下雨了。"
"1773","sugar","n.","糖","Do you want some sugar in your coffee?","你的咖啡要加點糖嗎？"
"1774","suggest","v.","建議","He suggested that we go for a walk.","他建議我們去散步。"
"1775","suit","n./v.","西裝/適合","He wore a dark suit to the wedding.","他穿著一套深色西裝參加婚禮。"
"1776","summer","n.","夏天","I like to go to the beach in the summer.","我喜歡夏天去海邊。"
"1777","sun","n.","太陽","The sun is very hot today.","今天的太陽很熱。"
"1778","Sunday","n.","週日","We always visit our grandparents on Sunday.","我們總是在週日探望祖父母。"
"1779","sunny","adj.","晴朗的","It is a sunny day for a picnic.","今天是個適合野餐的晴朗日子。"
"1780","super","adj.","極好的","The movie was super!","這部電影超棒的！"
"1781","supper","n.","晚餐","We had a late supper last night.","我們昨晚吃了頓晚晚餐。"
"1782","supply","v./n.","供應","The store supplies fresh milk every morning.","這家店每天早上供應新鮮牛奶。"
"1783","support","v./n.","支持","They supported his plan for the new project.","他們支持他對新專案的計畫。"
"1784","sure","adj.","確定的","Are you sure about that?","你確定嗎？"
"1785","surf","v.","衝浪","He likes to surf in the summer.","他夏天喜歡衝浪。"
"1786","surface","n.","表面","The surface of the table is smooth.","這張桌子的表面很光滑。"
"1787","surprise","n./v.","驚訝/驚喜","The gift was a big surprise to her.","那份禮物對她來說是一個大驚喜。"
"1788","surprised","adj.","感到驚訝的","I was surprised to see him here.","在這裡看到他我很驚訝。"
"1789","survive","v.","生存","Animals need food and water to survive.","動物需要食物和水才能生存。"
"1790","swallow","v.","吞下","You should chew your food well before you swallow it.","吞嚥前你應該把食物好好咀嚼。"
"1791","swan","n.","天鵝","The swan is swimming in the lake.","天鵝正在湖裡游泳。"
"1792","sweater","n.","毛衣","It is cold outside, so wear a sweater.","外面很冷，所以穿上毛衣。"
"1793","sweep","v.","清掃","Please sweep the floor.","請掃地。"
"1794","sweet","adj.","甜的","This cake is very sweet.","這塊蛋糕很甜。"
"1795","swim","v.","游泳","She learned to swim when she was five.","她五歲時就學會游泳了。"
"1796","swimsuit","n.","泳裝","She bought a new swimsuit for the summer.","她為了夏天買了一套新泳裝。"
"1797","swing","n./v.","鞦韆/擺動","The children are playing on the swings.","孩子們正在玩鞦韆。"
"1798","symbol","n.","符號/象徵","The dove is a symbol of peace.","鴿子是和平的象徵。"
"1799","system","n.","系統","The school has a new computer system.","學校有新的電腦系統。"
"1800","table","n.","桌子","Please put the book on the table.","請把書放在桌子上。"
"1801","tail","n.","尾巴","The dog wagged its tail when it saw me.","那隻狗看到我時搖了搖尾巴。"
"1802","Taiwan","n.","台灣","I live in Taiwan.","我住在台灣。"
"1803","Taiwanese","n./adj.","台灣人/台灣的","She is Taiwanese.","她是台灣人。"
"1804","take","v.","拿/搭乘/花費","It takes me thirty minutes to walk to school.","走路到學校花我三十分鐘。"
"1805","talent","n.","天才/天賦","She has a talent for music.","她在音樂方面很有天賦。"
"1806","talk","v./n.","談話","We need to have a serious talk.","我們需要進行一次嚴肅的談話。"
"1807","talkative","adj.","多話的","He is a very talkative boy.","他是一個非常多話的男孩。"
"1808","tall","adj.","高的","He is the tallest boy in the class.","他是班上最高的男孩。"
